id,day,hour,camera,track,track_len,ent_frame,ent_cam_part,dep_frame,dep_cam_part
1_11_3_78,1,11,3,78,126,4103,3_0,4240,3_0
1_11_3_92,1,11,3,92,44,4459,3_0,4502,3_0
1_11_3_93,1,11,3,93,43,4497,3_0,4539,3_2
1_11_3_95,1,11,3,95,28,4508,3_0,4535,3_0
1_11_3_98,1,11,3,98,225,4587,3_0,4811,3_0
1_11_3_99,1,11,3,99,54,4625,3_3,4678,3_0
1_11_3_105,1,11,3,105,39,4678,3_0,4716,3_0
1_11_3_108,1,11,3,108,39,4748,3_8,4786,3_0
1_11_3_116,1,11,3,116,88,4891,3_4,4978,3_0
1_11_3_119,1,11,3,119,97,4973,3_0,5069,3_8
1_11_3_121,1,11,3,121,83,4987,3_0,5069,3_8
1_11_3_126,1,11,3,126,86,5372,3_4,5472,3_0
1_11_3_127,1,11,3,127,97,5392,3_0,5489,3_0
1_11_4_17,1,11,4,17,37,1148,4_8,1184,4_4
1_11_4_20,1,11,4,20,108,1154,4_8,1261,4_6
1_11_4_27,1,11,4,27,106,1187,4_4,1309,4_6
1_11_4_73,1,11,4,73,63,4188,4_7,4256,4_6
1_11_4_75,1,11,4,75,136,4206,4_5,4363,4_6
1_11_4_79,1,11,4,79,97,4234,4_7,4338,4_6
1_11_4_80,1,11,4,80,35,4275,4_8,4309,4_8
1_11_5_6,1,11,5,6,88,257,5_2,344,5_0
1_11_5_9,1,11,5,9,31,308,5_7,338,5_1
1_11_5_10,1,11,5,10,28,322,5_7,349,5_5
1_11_5_30,1,11,5,30,57,3847,5_0,3906,5_8
1_11_5_36,1,11,5,36,77,3871,5_0,3948,5_5
1_11_5_40,1,11,5,40,72,3939,5_0,4010,5_8
1_11_5_46,1,11,5,46,38,4254,5_1,4291,5_7
1_11_5_48,1,11,5,48,24,4259,5_4,4282,5_7
1_11_5_61,1,11,5,61,40,4556,5_2,4595,5_7
1_11_5_63,1,11,5,63,28,4558,5_2,4585,5_7
1_11_5_71,1,11,5,71,31,5344,5_2,5374,5_7
1_11_5_72,1,11,5,72,94,5345,5_4,5441,5_0
1_11_6_76,1,11,6,76,603,3470,6_0,4116,6_0
1_11_6_80,1,11,6,80,118,3571,6_4,3861,6_4
1_11_6_81,1,11,6,81,95,3598,6_0,3692,6_5
1_11_6_85,1,11,6,85,40,3611,6_0,3651,6_3
1_11_6_88,1,11,6,88,158,3639,6_0,3815,6_0
1_11_6_90,1,11,6,90,46,3743,6_1,3788,6_3
1_11_6_93,1,11,6,93,216,3844,6_0,4115,6_0
1_11_6_107,1,11,6,107,74,4179,6_3,4252,6_8
1_11_6_112,1,11,6,112,51,4196,6_3,4253,6_8
1_11_6_113,1,11,6,113,54,4199,6_3,4252,6_5
1_11_6_119,1,11,6,119,37,4238,6_0,4274,6_3
1_11_6_125,1,11,6,125,55,4391,6_1,4445,6_0
1_11_6_126,1,11,6,126,30,4441,6_4,4521,6_4
1_11_6_127,1,11,6,127,58,4494,6_0,4551,6_5
1_11_6_128,1,11,6,128,60,4496,6_0,4555,6_8
1_11_6_150,1,11,6,150,245,5717,6_0,6000,6_0
1_11_6_158,1,11,6,158,34,5944,6_0,5977,6_0
1_11_7_48,1,11,7,48,99,3898,7_4,3999,7_6
1_11_7_52,1,11,7,52,160,3942,7_7,4146,7_6
1_11_7_53,1,11,7,53,203,3971,7_1,4210,7_6
1_11_7_56,1,11,7,56,339,3996,7_2,4340,7_6
1_11_7_65,1,11,7,65,46,4251,7_8,4296,7_0
1_11_7_66,1,11,7,66,35,4253,7_8,4287,7_1
1_11_7_75,1,11,7,75,44,4551,7_8,4594,7_1
1_11_7_80,1,11,7,80,26,4558,7_5,4583,7_1
1_11_7_84,1,11,7,84,175,5157,7_6,5341,7_5
1_11_7_88,1,11,7,88,25,5341,7_8,5365,7_1
1_11_8_1,1,11,8,1,912,1,8_4,912,8_4
1_11_8_2,1,11,8,2,35,1,8_4,35,8_4
1_11_8_5,1,11,8,5,957,723,8_4,1701,8_4
1_11_8_7,1,11,8,7,101,773,8_4,874,8_4
1_11_8_10,1,11,8,10,62,876,8_4,937,8_5
1_11_8_19,1,11,8,19,24,925,8_4,959,8_4
1_11_8_27,1,11,8,27,224,953,8_8,1176,8_7
1_11_8_28,1,11,8,28,1079,959,8_4,2057,8_3
1_11_8_36,1,11,8,36,804,1176,8_7,2072,8_4
1_11_8_45,1,11,8,45,29,1731,8_4,1759,8_6
1_11_8_46,1,11,8,46,34,1761,8_6,1794,8_6
1_11_8_59,1,11,8,59,30,2029,8_3,2068,8_4
1_11_8_61,1,11,8,61,51,2071,8_3,2176,8_7
1_11_8_62,1,11,8,62,105,2072,8_4,2176,8_7
1_11_8_64,1,11,8,64,51,2075,8_6,2149,8_6
1_11_8_68,1,11,8,68,39,2146,8_6,2184,8_6
1_11_8_74,1,11,8,74,697,2173,8_4,2878,8_6
1_11_8_75,1,11,8,75,58,2176,8_7,2234,8_7
1_11_8_76,1,11,8,76,105,2186,8_6,2290,8_6
1_11_8_78,1,11,8,78,355,2234,8_4,2612,8_7
1_11_8_90,1,11,8,90,970,2613,8_7,3591,8_5
1_11_8_92,1,11,8,92,130,2686,8_7,2815,8_6
1_11_8_93,1,11,8,93,51,2813,8_7,2866,8_6
1_11_8_95,1,11,8,95,52,2876,8_4,2969,8_4
1_11_8_98,1,11,8,98,79,2879,8_6,2981,8_7
1_11_8_103,1,11,8,103,67,2894,8_6,2987,8_7
1_11_8_105,1,11,8,105,261,2918,8_4,3193,8_4
1_11_8_109,1,11,8,109,71,2949,8_6,3072,8_6
1_11_8_121,1,11,8,121,194,3178,8_5,3373,8_6
1_11_8_122,1,11,8,122,136,3193,8_4,3330,8_5
1_11_8_127,1,11,8,127,236,3253,8_6,3488,8_5
1_11_8_134,1,11,8,134,156,3387,8_2,3553,8_6
1_11_8_138,1,11,8,138,150,3463,8_6,3629,8_5
1_11_9_18,1,11,9,18,196,1641,9_7,1873,9_7
1_11_9_19,1,11,9,19,24,1645,9_2,1668,9_8
1_11_9_22,1,11,9,22,30,1800,9_7,1862,9_7
1_11_9_48,1,11,9,48,213,3423,9_7,3685,9_7
1_11_9_50,1,11,9,50,114,3489,9_0,3602,9_1
1_11_9_53,1,11,9,53,26,3498,9_2,3523,9_8
1_11_9_66,1,11,9,66,43,3726,9_4,3768,9_0
1_11_9_68,1,11,9,68,71,3749,9_0,3829,9_0
1_11_10_6,1,11,10,6,45,286,10_0,331,10_0
1_11_10_7,1,11,10,7,100,286,10_0,392,10_5
1_11_10_8,1,11,10,8,28,288,10_1,315,10_5
1_11_10_25,1,11,10,25,74,1559,10_0,1632,10_0
1_11_10_26,1,11,10,26,51,1603,10_1,1653,10_8
1_11_10_45,1,11,10,45,247,3592,10_0,3838,10_4
1_11_10_53,1,11,10,53,25,3609,10_5,3633,10_1
1_11_10_54,1,11,10,54,70,3634,10_4,3703,10_0
1_11_10_55,1,11,10,55,181,3637,10_1,3818,10_4
1_11_10_56,1,11,10,56,27,3638,10_4,3664,10_4
1_11_10_59,1,11,10,59,24,3745,10_0,3768,10_1
1_11_10_64,1,11,10,64,203,3851,10_5,4113,10_4
1_11_10_70,1,11,10,70,270,3863,10_5,4147,10_4
1_11_10_79,1,11,10,79,30,3937,10_4,4010,10_5
1_11_10_83,1,11,10,83,47,3950,10_0,3999,10_0
1_11_10_85,1,11,10,85,27,3982,10_4,4008,10_5
1_11_10_92,1,11,10,92,129,4209,10_1,4337,10_0
1_11_10_93,1,11,10,93,104,4213,10_0,4337,10_0
1_11_10_96,1,11,10,96,224,4217,10_1,4445,10_8
1_11_10_103,1,11,10,103,128,4490,10_4,4620,10_0
1_11_10_106,1,11,10,106,123,4501,10_1,4632,10_0
1_11_10_113,1,11,10,113,36,5941,10_4,5976,10_0
1_11_10_114,1,11,10,114,41,5944,10_4,5984,10_0
1_11_11_22,1,11,11,22,44,3819,11_6,3862,11_7
1_11_11_25,1,11,11,25,26,3825,11_6,3850,11_7
1_11_12_34,1,11,12,34,200,2939,12_0,3149,12_2
1_11_12_37,1,11,12,37,31,2958,12_5,2988,12_7
1_11_12_38,1,11,12,38,87,3140,12_1,3248,12_0
1_11_12_43,1,11,12,43,28,3305,12_5,3332,12_7
1_11_12_46,1,11,12,46,73,3325,12_0,3401,12_5
1_11_12_58,1,11,12,58,25,3483,12_4,3507,12_7
1_11_12_60,1,11,12,60,87,3496,12_0,3582,12_2
1_11_12_62,1,11,12,62,34,3519,12_2,3552,12_7
1_11_12_69,1,11,12,69,25,3898,12_2,3922,12_2
1_11_12_71,1,11,12,71,98,3922,12_0,4034,12_8
1_11_12_72,1,11,12,72,188,3942,12_2,4135,12_1
1_11_12_79,1,11,12,79,60,4080,12_2,4139,12_0
1_11_12_81,1,11,12,81,135,4106,12_1,4245,12_0
1_11_12_82,1,11,12,82,60,4171,12_2,4232,12_7
1_11_12_93,1,11,12,93,190,4663,12_1,4852,12_1
1_11_12_95,1,11,12,95,84,4675,12_1,4783,12_0
1_11_12_96,1,11,12,96,309,4678,12_7,4986,12_2
1_11_12_97,1,11,12,97,24,4763,12_2,4786,12_7
1_11_12_102,1,11,12,102,37,4860,12_0,4896,12_0
1_11_12_103,1,11,12,103,58,4863,12_1,4969,12_0
1_11_12_114,1,11,12,114,24,4946,12_5,4969,12_7
1_11_12_121,1,11,12,121,24,5312,12_0,5335,12_0
1_11_12_122,1,11,12,122,80,5312,12_0,5430,12_0
1_11_13_15,1,11,13,15,80,1095,13_5,1183,13_0
1_11_13_16,1,11,13,16,85,1101,13_4,1199,13_0
1_11_13_45,1,11,13,45,31,2544,13_5,2574,13_3
1_11_13_46,1,11,13,46,98,2551,13_0,2648,13_1
1_11_13_59,1,11,13,59,307,3171,13_1,3505,13_1
1_11_13_68,1,11,13,68,29,3446,13_3,3474,13_5
1_11_13_73,1,11,13,73,31,3485,13_1,3518,13_8
1_11_13_114,1,11,13,114,179,4584,13_3,4763,13_5
1_11_13_119,1,11,13,119,35,4633,13_0,4667,13_8
1_11_13_124,1,11,13,124,49,4747,13_0,4795,13_3
1_11_13_132,1,11,13,132,88,4993,13_8,5080,13_0
1_11_13_135,1,11,13,135,82,4996,13_8,5077,13_0
1_11_13_144,1,11,13,144,49,5356,13_0,5410,13_3
1_11_13_145,1,11,13,145,51,5394,13_1,5444,13_4
1_11_13_147,1,11,13,147,80,5418,13_1,5525,13_1
1_11_13_148,1,11,13,148,36,5444,13_4,5479,13_5
1_11_14_2,1,11,14,2,40,1047,14_1,1086,14_8
1_11_14_3,1,11,14,3,37,1053,14_1,1089,14_7
1_11_14_13,1,11,14,13,217,2447,14_6,2663,14_1
1_11_14_14,1,11,14,14,32,2506,14_1,2537,14_8
1_11_14_23,1,11,14,23,136,3397,14_5,3538,14_6
1_11_14_34,1,11,14,34,41,3518,14_8,3558,14_1
1_11_14_47,1,11,14,47,146,4028,14_5,4173,14_6
1_11_14_51,1,11,14,51,51,4146,14_8,4196,14_8
1_11_14_52,1,11,14,52,36,4196,14_8,4231,14_1
1_11_15_8,1,11,15,8,38,826,15_3,863,15_6
1_11_15_9,1,11,15,9,32,853,15_2,884,15_7
1_11_15_12,1,11,15,12,128,1184,15_3,1311,15_8
1_11_15_13,1,11,15,13,40,1292,15_3,1331,15_6
1_11_15_15,1,11,15,15,48,1457,15_3,1504,15_6
1_11_15_16,1,11,15,16,49,1458,15_3,1506,15_7
1_11_15_33,1,11,15,33,135,4536,15_3,4694,15_2
1_11_15_35,1,11,15,35,94,4549,15_3,4642,15_6
1_11_15_41,1,11,15,41,163,4737,15_4,4904,15_6
1_11_15_43,1,11,15,43,62,4800,15_2,4861,15_3
1_13_1_7,1,13,1,7,38,1242,1_2,1279,1_6
1_13_1_9,1,13,1,9,38,1247,1_5,1284,1_3
1_13_1_26,1,13,1,26,34,3591,1_6,3624,1_5
1_13_1_28,1,13,1,28,29,3602,1_6,3630,1_5
1_13_1_34,1,13,1,34,66,3707,1_5,3772,1_6
1_13_1_35,1,13,1,35,56,3717,1_7,3772,1_6
1_13_1_43,1,13,1,43,40,4017,1_2,4056,1_3
1_13_1_46,1,13,1,46,34,4025,1_7,4058,1_3
1_13_1_53,1,13,1,53,43,4067,1_5,4109,1_6
1_13_1_55,1,13,1,55,54,4075,1_4,4141,1_6
1_13_1_66,1,13,1,66,27,5233,1_6,5259,1_6
1_13_1_67,1,13,1,67,31,5241,1_3,5271,1_6
1_13_1_73,1,13,1,73,54,5912,1_3,5967,1_6
1_13_1_74,1,13,1,74,54,5917,1_6,5970,1_6
1_13_2_1,1,13,2,1,83,1,2_0,109,2_0
1_13_2_2,1,13,2,2,64,1,2_0,64,2_0
1_13_2_3,1,13,2,3,53,66,2_0,122,2_0
1_13_2_6,1,13,2,6,172,687,2_0,858,2_8
1_13_2_13,1,13,2,13,133,830,2_0,973,2_8
1_13_2_16,1,13,2,16,113,853,2_0,972,2_5
1_13_2_27,1,13,2,27,198,1189,2_2,1424,2_5
1_13_2_29,1,13,2,29,186,1257,2_1,1442,2_0
1_13_2_38,1,13,2,38,178,1476,2_2,1667,2_0
1_13_2_39,1,13,2,39,197,1478,2_2,1698,2_0
1_13_2_40,1,13,2,40,226,1481,2_1,1736,2_0
1_13_2_43,1,13,2,43,190,1492,2_1,1693,2_0
1_13_2_72,1,13,2,72,140,2280,2_1,2459,2_0
1_13_2_75,1,13,2,75,62,2331,2_4,2461,2_4
1_13_2_83,1,13,2,83,152,3626,2_0,3777,2_5
1_13_2_85,1,13,2,85,147,3631,2_0,3778,2_8
1_13_2_94,1,13,2,94,91,3685,2_0,3808,2_5
1_13_2_96,1,13,2,96,89,3691,2_2,3784,2_0
1_13_2_98,1,13,2,98,151,3743,2_2,3893,2_0
1_13_2_100,1,13,2,100,54,3754,2_0,3807,2_5
1_13_2_105,1,13,2,105,78,3800,2_0,3877,2_8
1_13_2_108,1,13,2,108,129,3809,2_2,3937,2_2
1_13_2_112,1,13,2,112,105,3839,2_0,3958,2_5
1_13_2_123,1,13,2,123,178,3883,2_1,4061,2_0
1_13_2_134,1,13,2,134,156,4250,2_0,4407,2_2
1_13_2_137,1,13,2,137,186,4305,2_2,4501,2_0
1_13_2_142,1,13,2,142,107,4434,2_1,4557,2_0
1_13_2_150,1,13,2,150,177,4976,2_0,5175,2_2
1_13_2_153,1,13,2,153,122,5032,2_0,5171,2_2
1_13_2_156,1,13,2,156,156,5061,2_2,5216,2_0
1_13_2_169,1,13,2,169,716,5290,2_5,6005,2_8
1_13_2_175,1,13,2,175,99,5505,2_0,5629,2_0
1_13_2_177,1,13,2,177,203,5521,2_0,5749,2_2
1_13_2_179,1,13,2,179,41,5541,2_2,5581,2_2
1_13_2_181,1,13,2,181,53,5568,2_0,5620,2_0
1_13_2_186,1,13,2,186,149,5596,2_0,5747,2_2
1_13_2_189,1,13,2,189,126,5616,2_0,5754,2_5
1_13_2_191,1,13,2,191,52,5652,2_2,5703,2_0
1_13_2_205,1,13,2,205,61,5733,2_0,5809,2_0
1_13_2_207,1,13,2,207,25,5736,2_0,5778,2_0
1_13_3_2,1,13,3,2,59,175,3_0,240,3_0
1_13_3_5,1,13,3,5,39,192,3_0,231,3_0
1_13_3_6,1,13,3,6,60,199,3_0,259,3_0
1_13_3_9,1,13,3,9,28,221,3_0,256,3_0
1_13_3_15,1,13,3,15,124,252,3_0,375,3_0
1_13_3_18,1,13,3,18,61,324,3_0,384,3_0
1_13_3_19,1,13,3,19,88,370,3_0,459,3_0
1_13_3_20,1,13,3,20,85,375,3_0,461,3_0
1_13_3_25,1,13,3,25,73,427,3_0,499,3_0
1_13_3_40,1,13,3,40,78,1338,3_0,1415,3_0
1_13_3_41,1,13,3,41,73,1399,3_0,1471,3_5
1_13_3_42,1,13,3,42,73,1404,3_0,1476,3_8
1_13_3_45,1,13,3,45,47,1418,3_0,1464,3_4
1_13_3_46,1,13,3,46,35,1428,3_0,1468,3_4
1_13_3_58,1,13,3,58,93,2331,3_0,2429,3_0
1_13_3_59,1,13,3,59,119,2337,3_0,2455,3_0
1_13_3_60,1,13,3,60,56,2342,3_0,2413,3_0
1_13_3_62,1,13,3,62,80,2354,3_0,2433,3_0
1_13_3_68,1,13,3,68,102,2582,3_0,2701,3_0
1_13_3_71,1,13,3,71,108,2659,3_1,2766,3_0
1_13_3_77,1,13,3,77,80,2923,3_0,3002,3_5
1_13_3_78,1,13,3,78,38,2930,3_0,2971,3_0
1_13_3_79,1,13,3,79,84,2984,3_0,3067,3_1
1_13_3_80,1,13,3,80,39,2994,3_0,3032,3_0
1_13_3_83,1,13,3,83,55,3054,3_0,3108,3_8
1_13_3_84,1,13,3,84,55,3058,3_0,3112,3_0
1_13_3_90,1,13,3,90,655,3150,3_4,3804,3_5
1_13_3_95,1,13,3,95,56,3661,3_0,3719,3_0
1_13_3_97,1,13,3,97,44,3701,3_0,3744,3_8
1_13_3_101,1,13,3,101,166,3850,3_0,4016,3_0
1_13_3_104,1,13,3,104,321,3945,3_5,4271,3_0
1_13_3_105,1,13,3,105,24,4022,3_0,4045,3_0
1_13_3_108,1,13,3,108,88,4099,3_0,4197,3_2
1_13_3_111,1,13,3,111,38,4119,3_0,4171,3_0
1_13_3_113,1,13,3,113,124,4208,3_0,4331,3_0
1_13_3_116,1,13,3,116,32,4267,3_1,4298,3_0
1_13_3_117,1,13,3,117,34,4271,3_0,4304,3_5
1_13_3_125,1,13,3,125,103,4422,3_4,4524,3_0
1_13_3_126,1,13,3,126,117,4423,3_4,4541,3_0
1_13_3_155,1,13,3,155,25,5145,3_4,5169,3_2
1_13_3_156,1,13,3,156,151,5149,3_3,5299,3_2
1_13_3_157,1,13,3,157,26,5153,3_1,5178,3_5
1_13_3_158,1,13,3,158,32,5160,3_3,5191,3_4
1_13_3_171,1,13,3,171,100,5190,3_4,5299,3_0
1_13_3_172,1,13,3,172,113,5191,3_4,5303,3_0
1_13_3_178,1,13,3,178,47,5412,3_0,5458,3_0
1_13_3_180,1,13,3,180,84,5435,3_0,5518,3_5
1_13_3_186,1,13,3,186,154,5506,3_0,5687,3_0
1_13_3_189,1,13,3,189,32,5540,3_0,5571,3_0
1_13_3_190,1,13,3,190,46,5581,3_8,5626,3_0
1_13_3_192,1,13,3,192,55,5600,3_0,5654,3_8
1_13_4_16,1,13,4,16,121,847,4_2,968,4_6
1_13_4_23,1,13,4,23,154,964,4_4,1135,4_6
1_13_4_24,1,13,4,24,102,968,4_5,1072,4_6
1_13_4_88,1,13,4,88,76,3768,4_2,3843,4_6
1_13_4_89,1,13,4,89,75,3768,4_5,3851,4_6
